"REF_DATE","GEO","DGUID","Receipts, payments and balances","Current account and capital account","Countries or regions","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Canada","2016A000011124","Receipts","Secondary income","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914436","1.1.17.7","21","","","","0"
"1981","Canada","2016A000011124","Receipts","Secondary income","All other countries","Dollars","81","millions","6","v61914437","1.1.17.8","29","","","","0"
"1981","Canada","2016A000011124","Receipts","Private transfers","All countries","Dollars","81","millions","6","v61914438","1.1.18.1","546","","","","0"
"1981","Canada","2016A000011124","Receipts","Private transfers","United States","Dollars","81","millions","6","v61914439","1.1.18.2","331","","","","0"
"1981","Canada","2016A000011124","Receipts","Private transfers","United Kingdom","Dollars","81","millions","6","v61914440","1.1.18.3","104","","","","0"
"1981","Canada","2016A000011124","Receipts","Private transfers","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914441","1.1.18.4","112","","","","0"
"1981","Canada","2016A000011124","Receipts","Private transfers","Other European Union countries","Dollars","81","millions","6","v61914442","1.1.18.5","87","","","","0"
"1981","Canada","2016A000011124","Receipts","Private transfers","Japan","Dollars","81","millions","6","v61914443","1.1.18.6","2","","","","0"
"1981","Canada","2016A000011124","Receipts","Private transfers","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914444","1.1.18.7","13","","","","0"
"1981","Canada","2016A000011124","Receipts","Private transfers","All other countries","Dollars","81","millions","6","v61914445","1.1.18.8","9","","","","0"
"1981","Canada","2016A000011124","Receipts","Other private transfers","All countries","Dollars","81","millions","6","v61914446","1.1.19.1","546","","","","0"
"1981","Canada","2016A000011124","Receipts","Government transfers","All countries","Dollars","81","millions","6","v61914447","1.1.23.1","1230","","","","0"
"1981","Canada","2016A000011124","Receipts","Government transfers","United States","Dollars","81","millions","6","v61914448","1.1.23.2","1100","","","","0"
"1981","Canada","2016A000011124","Receipts","Government transfers","United Kingdom","Dollars","81","millions","6","v61914449","1.1.23.3","90","","","","0"
"1981","Canada","2016A000011124","Receipts","Government transfers","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914450","1.1.23.4","40","","","","0"
"1981","Canada","2016A000011124","Receipts","Government transfers","Other European Union countries","Dollars","81","millions","6","v61914451","1.1.23.5","9","","","","0"
"1981","Canada","2016A000011124","Receipts","Government transfers","Japan","Dollars","81","millions","6","v61914452","1.1.23.6","3","","","","0"
"1981","Canada","2016A000011124","Receipts","Government transfers","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914453","1.1.23.7","8","","","","0"
"1981","Canada","2016A000011124","Receipts","Government transfers","All other countries","Dollars","81","millions","6","v61914454","1.1.23.8","20","","","","0"
"1981","Canada","2016A000011124","Receipts","Canadian taxes","All countries","Dollars","81","millions","6","v61914455","1.1.24.1","1210","","","","0"
"1981","Canada","2016A000011124","Receipts","Other transfers of government","All countries","Dollars","81","millions","6","v61914456","1.1.26.1","20","","","","0"
"1981","Canada","2016A000011124","Receipts","Capital account","All countries","Dollars","81","millions","6","v61914457","1.1.27.1","68","","","","0"
"1981","Canada","2016A000011124","Payments","Total current account","All countries","Dollars","81","millions","6","v61914458","1.2.1.1","125864","","","","0"
"1981","Canada","2016A000011124","Payments","Total current account","United States","Dollars","81","millions","6","v61914459","1.2.1.2","80194","","","","0"
"1981","Canada","2016A000011124","Payments","Total current account","United Kingdom","Dollars","81","millions","6","v61914460","1.2.1.3","7105","","","","0"
"1981","Canada","2016A000011124","Payments","Total current account","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914461","1.2.1.4","38565","","","","0"
"1981","Canada","2016A000011124","Payments","Total current account","Other European Union countries","Dollars","81","millions","6","v61914462","1.2.1.5","9645","","","","0"
"1981","Canada","2016A000011124","Payments","Total current account","Japan","Dollars","81","millions","6","v61914463","1.2.1.6","4799","","","","0"
"1981","Canada","2016A000011124","Payments","Total current account","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914464","1.2.1.7","3959","","","","0"
"1981","Canada","2016A000011124","Payments","Total current account","All other countries","Dollars","81","millions","6","v61914465","1.2.1.8","20161","","","","0"
